id,titulo,descripcion,precio,precio_oferta,categoria,url_imagen,stock,unidad,etiquetas,destacado,activo,orden
PZ01,Pizza muzzarella al molde,"Masa al molde, muzzarella y aceitunas verdes.",9800,,Pizzas,https://images.unsplash.com/photo-1574071318508-1cdbab80d002?w=600&q=70,30,8 porciones,Más pedida,si,si,1
PZ02,Pizza napolitana,"Muzzarella, rodajas de tomate y ajo.",11500,,Pizzas,https://images.unsplash.com/photo-1548369937-47519962c11a?w=600&q=70,24,8 porciones,,si,si,2
PZ03,Pizza especial,"Muzzarella, jamón, morrones y huevo.",13500,11900,Pizzas,https://images.unsplash.com/photo-1604382354936-07c5d9983bd3?w=600&q=70,18,8 porciones,Promo,si,si,3
PZ04,Pizza de pepperoni,"Muzzarella y pepperoni picante.",12900,,Pizzas,https://images.unsplash.com/photo-1594007654729-407eedc4be65?w=600&q=70,16,8 porciones,Picante,no,si,4
PZ05,Pizza de rúcula y parmesano,"Muzzarella, rúcula fresca y parmesano.",13200,,Pizzas,https://images.unsplash.com/photo-1593560708920-61dd98c46a4e?w=600&q=70,14,8 porciones,,no,si,5
PZ06,Pizza vegetariana,"Muzzarella, morrón, cebolla, tomate y aceitunas.",12400,,Pizzas,https://images.unsplash.com/photo-1615719413546-198b25453f85?w=600&q=70,12,8 porciones,Vegetariana,no,si,6
PZ07,Fugazzeta rellena,"Doble muzzarella y cebolla dorada.",13900,,Pizzas,https://images.unsplash.com/photo-1528137871618-79d2761e3fd5?w=600&q=70,10,8 porciones,,no,si,7
HB01,Hamburguesa clásica,"Medallón de carne, lechuga, tomate y mayonesa casera.",8500,,Hamburguesas,https://images.unsplash.com/photo-1550547660-d9450f859349?w=600&q=70,20,unidad,,no,si,8
HB02,Hamburguesa doble cheddar,"Dos medallones, doble cheddar y cebolla caramelizada.",11500,9900,Hamburguesas,https://images.unsplash.com/photo-1568901346375-23c9450c58cd?w=600&q=70,18,unidad,Más pedida,si,si,9
HB03,Hamburguesa completa,"Carne, huevo, jamón, queso, lechuga y tomate.",9900,,Hamburguesas,https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=600&q=70,16,unidad,,no,si,10
HB04,Hamburguesa con cheddar y bacon,"Medallón, cheddar, bacon crocante y salsa barbacoa.",12200,,Hamburguesas,https://images.unsplash.com/photo-1607013251379-e6eecfffe234?w=600&q=70,14,unidad,,no,si,11
PC01,Empanadas de carne cortada a cuchillo,"Media docena, fritas o al horno.",7500,6800,Para compartir,https://images.unsplash.com/photo-1601050690597-df0568f70950?w=600&q=70,25,media docena,Promo,si,si,12
PC02,Alitas de pollo con salsa,"Ocho alitas con salsa barbacoa o picante.",8900,,Para compartir,https://images.unsplash.com/photo-1626074353765-517a681e40be?w=600&q=70,0,ocho unidades,,no,si,13
PC03,Combo pizza + birra,"Una pizza de muzzarella y una cerveza artesanal de 1 litro.",14500,12900,Para compartir,https://images.unsplash.com/photo-1571407970349-bc81e7e96d47?w=600&q=70,12,combo,Oferta,no,si,14
BB01,Pinta de cerveza tirada,"Cerveza artesanal de la casa, 500 ml.",4200,,Bebidas,https://images.unsplash.com/photo-1535958636474-b021ee887b13?w=600&q=70,40,500 ml,Artesanal,no,si,15
BB02,Cerveza artesanal 1 litro,"Rubia o negra, elaborada en Tandil.",6800,,Bebidas,https://images.unsplash.com/photo-1436076863939-06870fe779c2?w=600&q=70,30,1 litro,,no,si,16
BB03,"Gaseosa 1,5 litros","Línea Coca-Cola o Pepsi, bien fría.",3500,2900,Bebidas,https://images.unsplash.com/photo-1629203849820-fdd70d49c38e?w=600&q=70,45,"1,5 l",Promo,no,si,17
BB04,Agua mineral 500 ml,"Sin gas.",2500,,Bebidas,https://images.unsplash.com/photo-1523362628745-0c100150b504?w=600&q=70,50,500 ml,,no,si,18
PO01,Helado artesanal,"Cuarto kilo, dos gustos a elección.",4500,,Postres,https://images.unsplash.com/photo-1497034825429-c343d7c6a68f?w=600&q=70,20,1/4 kg,,no,si,19
PO02,Tiramisú casero,"Porción individual.",5200,,Postres,https://images.unsplash.com/photo-1578985545062-69928b1d9587?w=600&q=70,12,porción,,no,si,20
PO03,Postre de chocolate,"Mousse de chocolate con crema.",4800,4200,Postres,https://images.unsplash.com/photo-1563805042-7684c019e1cb?w=600&q=70,10,porción,Oferta,no,si,21
